name,wrl1,category1,gender1,nation,age,weight,weight_mt,height,height_cur,cur_ref
Shukurjon AMINOVA,#23,-57,W,Uzbekistan,21,56.6,59.3,170,166,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2012660-aminova-shukurjon.htm
Iriskhon KURBANBAEVA,#23,-78,W,Uzbekistan,22,77.6,82.7,170,170,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2012631-kurbanbaeva-iriskhon.htm
Hesham MAKABR,#401,-60,M,Yemen,20,59.9,,170,,
Bence PONGRACZ,#53,-66,M,Hungary,24,65.8,70.6,171,,
Hyunji YOON,#18,-78,W,Republic of Korea,30,77.5,77.8,171,175,https://www.ocagames.com/HZ_Info/AG2022-/resAG2022-/pdf/AG2022-/JUD/AG2022-_JUD_C32C_JUDW78KG--------------------------.pdf
Narmandakh BAYANMUNKH,#14,-66,M,United Arab Emirates,24,66,,171,174,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2009369-bayanmunkh-narmandakh.htm
Renee LUCHT,#24,78,W,Germany,25,99.1,,172,172,https://olympics.com/en/paris-2024/athlete/renee-lucht_1563088
Krisztian TOTH,#5,-90,M,Hungary,30,90,94,172,175,https://www.adh.de/fileadmin/user_upload/pdf/wettkampf/ergebnisse-international/WUG_Universiade_Sommer/2019/Judo_Universiade_2019_Ergbenisse.pdf
Abylaikhan ZHUBANAZAR,#10,-81,M,Kazakhstan,24,80.8,83.6,172,175,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2020199-zhubanazar-abylaikhan.htm
Akil GJAKOVA,#17,-73,M,Kosovo,28,72.9,,172,174,https://gdm2022-pdf.microplustimingservices.com/JUD/ResultBook/GDM2022_JUD_v1.5.pdf
Kiyomi WATANABE,#92,-63,W,Philippines,27,62.7,,172,,
Tais PINA,#24,-70,W,Portugal,19,69.8,,172,173,https://comiteolimpicoportugal.pt/noticias/detalhe-da-noticia/?id=NEW-5a027069-556f-43a5-bb7e-133e9f91df22
Maylin DEL TORO CARVAJAL,#21,-63,W,Cuba,29,62.6,,173,170,https://www.jit.cu/impresadownload.ashx?edi=128&filename=905%20(17-07-2018)-%20Todo.pdf
Szabina GERCSAK,#22,-70,W,Hungary,28,67.5,70.3,173,178,https://78884ca60822a34fb0e6-082b8fd5551e97bc65e327988b444396.ssl.cf3.rackcdn.com/up/2021/12/Nanjing_Youth_Olympic_Games_Ju-1639651583.pdf
Kim POLLING,#15,-70,W,Italy,33,69.4,73.1,173,175,https://parigi2024.coni.it/it/italia-team/gli-azzurri/scheda_atleta/2524:KIM_POLLING.html
Antonio ESPOSITO,#13,-81,M,Italy,29,80.8,84.9,173,173,https://parigi2024.coni.it/it/italia-team/gli-azzurri/scheda_atleta/2474:ANTONIO_ESPOSITO.html
